"position","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11"
0.225955,72.75,-12,1083,45.75,84,57.25,78.75,75,62.5,65,53.75
0.227397,72.5,-8,1234,45.5,84,57.5,78.5,75,62,65,53.5
0.22884,72.25,-4,1385,45.25,84,57.75,78.25,75,61.5,65,53.25
0.230283,72,0,1536,45,84,58,78,75,61,65,53
0.231726,72.25,2.75,1794.5,46.25,83.75,58,78.25,75,61.5,65.25,53
0.233169,72.5,5.5,2053,47.5,83.5,58,78.5,75,62,65.5,53
0.234612,72.75,8.25,2311.5,48.75,83.25,58,78.75,75,62.5,65.75,53
0.236054,73,11,2570,50,83,58,79,75,63,66,53
0.237407,73.25,12.75,2881.75,50.25,83.25,57.75,79.5,75.5,63,65.75,53.25
0.23876,73.5,14.5,3193.5,50.5,83.5,57.5,80,76,63,65.5,53.5
0.240113,73.75,16.25,3505.25,50.75,83.75,57.25,80.5,76.5,63,65.25,53.75
0.241465,74,18,3817,51,84,57,81,77,63,65,54
0.242782,74,19,3916.75,52,83.75,57,80,76.75,62.5,65.25,53.5
0.244098,74,20,4016.5,53,83.5,57,79,76.5,62,65.5,53
0.245415,74,21,4116.25,54,83.25,57,78,76.25,61.5,65.75,52.5
0.246731,74,22,4216,55,83,57,77,76,61,66,52
0.248084,73.75,23.5,3618,55.5,83,57.75,77.25,75.75,61.25,66.25,52
0.249436,73.5,25,3020,56,83,58.5,77.5,75.5,61.5,66.5,52
0.250788,73.25,26.5,2422,56.5,83,59.25,77.75,75.25,61.75,66.75,52
0.252141,73,28,1824,57,83,60,78,75,62,67,52
0.253512,73,29,775,58,83,59.25,78.25,75,62.25,66.5,52.25
0.254883,73,30,-274,59,83,58.5,78.5,75,62.5,66,52.5
0.256254,73,31,-1323,60,83,57.75,78.75,75,62.75,65.5,52.75
0.257624,73,32,-2372,61,83,57,79,75,63,65,53
0.258995,72.75,32,-2883,62.25,83.5,57.25,78.75,75.25,62.75,65.75,53.5
0.260365,72.5,32,-3394,63.5,84,57.5,78.5,75.5,62.5,66.5,54
0.261736,72.25,32,-3905,64.75,84.5,57.75,78.25,75.75,62.25,67.25,54.5
0.263106,72,32,-4416,66,85,58,78,76,62,68,55
0.264486,71.75,33,-4214.5,67.75,84.75,58.25,78.25,75.75,62.25,68,54
0.265865,71.5,34,-4013,69.5,84.5,58.5,78.5,75.5,62.5,68,53
0.267245,71.25,35,-3811.5,71.25,84.25,58.75,78.75,75.25,62.75,68,52
0.268625,71,36,-3610,73,84,59,79,75,63,68,51
0.270004,71.5,35.5,-3254.5,76.75,84.5,59,78.25,75.5,63,67.5,51.25
0.271384,72,35,-2899,80.5,85,59,77.5,76,63,67,51.5
0.272764,72.5,34.5,-2543.5,84.25,85.5,59,76.75,76.5,63,66.5,51.75
0.274143,73,34,-2188,88,86,59,76,77,63,66,52
0.275496,73.25,34.5,-1946.75,91.5,85.75,58.75,76.25,76.5,62.75,65.75,52.25
0.276849,73.5,35,-1705.5,95,85.5,58.5,76.5,76,62.5,65.5,52.5
0.278201,73.75,35.5,-1464.25,98.5,85.25,58.25,76.75,75.5,62.25,65.25,52.75
0.279554,74,36,-1223,102,85,58,77,75,62,65,53
0.280942,73.25,36,-1083.75,108.5,84.75,58.25,77.5,75,62.25,65.25,53
0.282331,72.5,36,-944.5,115,84.5,58.5,78,75,62.5,65.5,53
0.28372,71.75,36,-805.25,121.5,84.25,58.75,78.5,75,62.75,65.75,53
0.285108,71,36,-666,128,84,59,79,75,63,66,53
0.286497,72,36.25,-589.75,137.25,84,58.75,79,75,62.75,66.25,53.25
0.287886,73,36.5,-513.5,146.5,84,58.5,79,75,62.5,66.5,53.5
0.289274,74,36.75,-437.25,155.75,84,58.25,79,75,62.25,66.75,53.75
0.290663,75,37,-361,165,84,58,79,75,62,67,54
0.292043,75,37.75,-318.75,179.5,85,58.25,78.75,74.75,62.25,67.25,54
0.293423,75,38.5,-276.5,194,86,58.5,78.5,74.5,62.5,67.5,54
0.294802,75,39.25,-234.25,208.5,87,58.75,78.25,74.25,62.75,67.75,54
0.296182,75,40,-192,223,88,59,78,74,63,68,54
0.297579,75,39,-168.5,245.5,87.5,58.5,78,74.25,62.75,67.25,54.25
0.298977,75,38,-145,268,87,58,78,74.5,62.5,66.5,54.5
0.300374,75,37,-121.5,290.5,86.5,57.5,78,74.75,62.25,65.75,54.75
0.301772,75,36,-98,313,86,57,78,75,62,65,55
0.303125,74.75,36.75,-83.5,348.75,86.25,57.25,78,74.75,62.25,65.75,54.25
0.304477,74.5,37.5,-69,384.5,86.5,57.5,78,74.5,62.5,66.5,53.5
